,city,latitud,longitud,temperature,wind_speed,cloudiness,humidity,date
0,mataura,-46.19,168.86,284.26,0.45,26,84,1562821161
1,butaritari,3.07,172.79,303.1,1.92,67,63,1562821162
2,busselton,-33.64,115.35,292.59,5.42,93,47,1562821162
3,wanganui,-39.93,175.05,285.93,5.81,17,73,1562821163
4,catuday,16.29,119.81,302.5,5.74,10,78,1562821163
5,puerto ayora,-0.74,-90.35,294.26,0.45,33,92,1562821164
6,port lincoln,-34.72,135.86,287.7,13.8,66,76,1562821164
7,ushuaia,-54.81,-68.31,275.15,1.5,75,99,1562821164
8,hermanus,-34.42,19.24,284.26,4.28,0,94,1562821165
9,vao,59.1,26.19,286.4,4.09,100,65,1562821165
10,sorland,67.67,12.69,283.15,3.1,90,100,1562821166
11,jamestown,-33.21,138.6,287.2,7.86,85,69,1562820924
12,vaini,15.34,74.49,297.15,3.1,75,94,1562821166
13,chokurdakh,70.62,147.9,299.2,3.68,37,37,1562821166
14,malmesbury,51.58,-2.1,290.37,0.5,0,82,1562821167
15,punta arenas,-53.16,-70.91,276.15,3.1,90,100,1562821167
16,hovd,63.83,10.7,284.26,2.1,75,93,1562821167
17,vanavara,60.35,102.28,294.0,2.0,100,67,1562821171
18,atuona,-9.8,-139.03,300.2,7.94,18,80,1562821171
19,meulaboh,4.14,96.13,302.5,2.63,76,65,1562821171
20,castro,-42.48,-73.76,279.15,3.1,90,100,1562821172
21,bubaque,11.28,-15.83,299.4,8.2,100,84,1562821172
22,cape town,-33.93,18.42,284.26,0.5,0,100,1562821172
23,eldorado,-24.52,-48.11,283.3,1.05,58,91,1562821173
24,saskylakh,71.97,114.09,292.4,2.82,81,41,1562821173
25,oil city,41.43,-79.71,296.15,1.5,1,78,1562821175
26,vallenar,-28.58,-70.76,280.4,0.62,72,77,1562821176
27,hithadhoo,-0.6,73.08,302.4,4.85,100,74,1562821177
28,severodvinsk,64.56,39.82,279.15,3.0,90,93,1562821177
29,ponta do sol,-20.63,-46.0,283.8,1.06,0,70,1562821177
30,carnarvon,-30.97,22.13,283.0,4.35,0,31,1562821178
31,flinders,-34.58,150.85,291.48,11.3,0,38,1562821178
32,mount isa,-20.73,139.49,299.15,5.7,34,16,1562821178
33,batagay-alyta,67.8,130.41,295.3,5.56,83,37,1562821179
34,kodiak,39.95,-94.76,295.93,2.6,1,43,1562821179
35,bogen,48.91,12.69,287.04,1.12,84,72,1562821179
36,aklavik,68.22,-135.01,280.15,5.1,90,93,1562821180
37,east london,-33.02,27.91,283.15,1.5,0,100,1562821180
38,ribeira brava,32.65,-17.07,294.15,5.1,40,68,1562821180
39,rikitea,-23.12,-134.97,296.2,7.92,13,81,1562821181
40,zitlala,17.69,-99.19,289.5,1.9,100,94,1562821181
41,cidreira,-30.17,-50.22,287.9,2.28,100,74,1562821181
42,pochutla,15.74,-96.47,299.15,2.6,40,78,1562821181
43,albany,42.65,-73.75,296.48,2.6,1,100,1562820998
44,luwuk,-0.95,122.79,292.1,2.19,100,90,1562821182
45,avera,33.19,-82.53,299.15,2.1,40,94,1562821183
46,kapaa,22.08,-159.32,301.15,5.7,20,69,1562821183
47,lompoc,34.64,-120.46,290.93,4.6,90,93,1562821185
48,searcy,35.25,-91.74,298.15,1.5,1,100,1562821186
49,bethel,60.79,-161.76,295.15,3.6,40,73,1562820952
50,kahului,20.89,-156.47,301.15,10.3,40,69,1562821187
51,kruisfontein,-34.0,24.73,287.0,4.27,0,35,1562821187
52,nikolskoye,59.7,30.79,284.26,5.0,40,62,1562821189
53,sancti spiritus,21.93,-79.44,296.9,0.88,91,85,1562821189
