,city,latitud,longitud,temperature,wind_speed,cloudiness,humidity
0,east london,-33.02,27.91,285.15,3.1,0,main.humidity
1,noumea,-22.28,166.46,298.15,1.5,75,main.humidity
2,daura,13.04,8.32,300.299,6.32,76,main.humidity
3,georgetown,6.8,-58.16,297.15,2.1,20,main.humidity
4,busselton,-33.64,115.35,290.37,4.41,98,main.humidity
5,hermanus,-34.42,19.24,284.82,3.37,0,main.humidity
6,samarai,-10.62,150.67,298.339,4.74,97,main.humidity
7,khatanga,71.98,102.47,285.329,2.83,100,main.humidity
8,rikitea,-23.12,-134.97,296.119,7.64,0,main.humidity
9,albany,42.65,-73.75,297.15,1.5,1,main.humidity
10,arroio grande,-32.24,-53.09,285.939,1.57,59,main.humidity
11,cape town,-33.93,18.42,284.82,2.1,0,main.humidity
12,ilulissat,69.22,-51.1,278.15,1.5,17,main.humidity
13,hasaki,35.73,140.83,296.15,3.1,75,main.humidity
14,bend,44.06,-121.32,298.71,4.6,1,main.humidity
15,saldanha,41.42,-6.55,293.269,1.1,0,main.humidity
16,puerto escondido,15.86,-97.07,301.15,1.39,40,main.humidity
17,raton,36.9,-104.44,297.15,2.1,90,main.humidity
18,upernavik,72.79,-56.15,278.819,2.83,38,main.humidity
19,fort thomas,39.08,-84.45,301.15,2.6,90,main.humidity
20,dikson,73.51,80.55,272.939,4.95,100,main.humidity
21,jamestown,-33.21,138.6,286.299,9.01,92,main.humidity
22,chuy,-33.69,-53.46,284.569,2.42,52,main.humidity
23,canatlan,24.52,-104.78,295.15,3.1,75,main.humidity
24,vila franca do campo,37.72,-25.43,293.15,2.19,20,main.humidity
25,tasiilaq,65.61,-37.64,279.15,2.1,79,main.humidity
26,severo-kurilsk,50.68,156.12,279.299,9.26,100,main.humidity
27,san patricio,-26.98,-56.83,292.879,3.62,85,main.humidity
28,arraial do cabo,-22.97,-42.02,291.049,7.55,0,main.humidity
29,kapaa,22.08,-159.32,302.15,5.7,20,main.humidity
30,torbay,47.66,-52.73,282.04,2.6,90,main.humidity
31,laguna,16.17,-88.94,299.15,1.42,20,main.humidity
32,makakilo city,21.35,-158.09,305.15,6.2,1,main.humidity
33,kalmunai,7.42,81.82,302.169,1.71,100,main.humidity
34,mao,19.55,-71.08,301.15,6.2,40,main.humidity
35,punta arenas,-53.16,-70.91,275.93,1.5,90,main.humidity
36,qaanaaq,77.48,-69.36,278.599,0.23,90,main.humidity
37,mataura,-46.19,168.86,284.82,1.34,52,main.humidity
38,kodiak,39.95,-94.76,298.15,3.1,1,main.humidity
39,lebu,8.96,38.73,285.15,2.1,40,main.humidity
40,kavieng,-2.57,150.8,301.599,6.61,78,main.humidity
41,batagay-alyta,67.8,130.41,294.719,3.43,67,main.humidity
42,yairipok,24.67,94.07,297.15,3.6,75,main.humidity
43,namibe,-15.19,12.15,292.159,3.64,30,main.humidity
44,rio tercero,-32.17,-64.11,282.389,1.21,100,main.humidity
45,ushuaia,-54.81,-68.31,276.15,1.26,40,main.humidity
46,mwene-ditu,-7.01,23.45,293.499,0.58,53,main.humidity
47,vanimo,-2.67,141.3,300.599,2.9,84,main.humidity
48,port keats,-14.25,129.55,301.719,6.12,97,main.humidity
49,basco,40.33,-91.2,299.15,2.1,40,main.humidity
50,mirnyy,56.57,36.46,282.899,2.64,68,main.humidity
51,berlevag,70.86,29.09,279.029,4.91,77,main.humidity
52,port hardy,50.7,-127.42,290.15,1.5,75,main.humidity
53,padang,-0.92,100.36,300.959,1.23,0,main.humidity
54,victoria,5.28,115.24,305.15,1.5,75,main.humidity
55,butaritari,3.07,172.79,302.899,2.07,91,main.humidity
56,atuona,-9.8,-139.03,300.169,7.5,3,main.humidity
